BuyHold,Momentum,MeanRev,VolTarget
110725.15831024537,100000.0,72169.83485473345,114176.1351634075
109673.74468790732,100000.0,72859.7229607467,113821.61768307578
109363.63048006178,100000.0,73059.72456572545,113713.81787401007
109397.23237995646,100000.0,73035.53121378912,113724.58712904513
109287.61832360047,100000.0,73107.05527424141,113682.89051233942
110447.45277791402,100000.0,72069.15609774548,114123.16510607337
111235.8314875267,100000.0,72069.15609774548,114428.52575578545
112195.25220710115,100000.0,72069.15609774548,114808.45198119825
111669.49424120545,100000.0,72069.15609774548,114594.39473280215
110774.09511616343,100000.0,72069.15609774548,114221.53633236195
109564.2002397274,100000.0,71816.79381937765,113704.06416968913
108743.0743821249,100000.0,71035.9851253894,113343.78337056734
107947.76521090027,100000.0,71035.9851253894,112983.80703071685
108140.04630312117,100000.0,71035.9851253894,113072.13523007763
